成交记录ID,户型,小区名称,建筑面积,成交价,挂牌价,单价,成交周期,成交日期,朝向,装修,电梯,楼层,建筑类型
101104919981,3室2厅,金裕青青家园,109.95,93,93,8423,223,2020.01.18,南,简装,,中楼层(共6层),板楼
101106485874,3室2厅,万科城二期,86.98,165,169,18970,39,2020.01.18,南北,精装,,高楼层(共33层),板塔结合
101105760148,3室2厅,太白小区,101.3,115,116,11272,125,2020.01.18,南北,简装,,低楼层(共6层),板塔结合
101106606164,2室1厅,高新左岸,84.03,105,108,12496,27,2020.01.18,西南,精装,,中楼层(共27层),板塔结合
101105898029,2室2厅,新南花园,92.31,100,117,10834,109,2020.01.18,西南东北,简装,,低楼层(共16层),板塔结合
101106027101,1室0厅,御溪书院,40,51,52,12625,93,2020.01.18,北,精装,,中楼层(共31层),塔楼
101106471166,2室1厅,紫薇永和坊,105.08,189,192,17987,41,2020.01.18,东南,精装,,中楼层(共32层),板塔结合
101106599281,1室1厅,易道郡玫瑰公馆一期,51,69,70,13530,28,2020.01.18,东,精装,,中楼层(共31层),塔楼
101105568227,2室1厅,送变电社区,55.82,43,46,7704,147,2020.01.18,东,简装,,高楼层(共5层),板塔结合
101105706036,2室1厅,枫叶苑南区,79.59,226,229,28396,131,2020.01.18,南北,简装,,高楼层(共7层),板楼
101105474472,3室2厅,碧桂园天玺,112.63,170,172,15094,157,2020.01.18,南北,精装,,高楼层(共33层),板塔结合
101105751164,1室1厅,南方星座,54.68,60,61,10973,125,2020.01.18,东北,精装,,低楼层(共30层),塔楼
101106680029,1室0厅,嘉泰隆小区,55.19,66,69,11959,16,2020.01.18,西北,精装,,中楼层(共20层),塔楼
101106591796,3室1厅,乐园小区,85.26,82,82.3,9571,29,2020.01.18,南北,精装,,中楼层(共5层),板楼
101105990634,2室1厅,金裕青青家园西区,96.99,92,94,9486,98,2020.01.18,南北,精装,,中楼层(共6层),板楼
101106744155,2室2厅,泾渭明珠小区,45,39,39,8623,7,2020.01.18,南,毛坯,,中楼层(共16层),板塔结合
101106455461,3室2厅,盛世长安,96.57,131,131,13566,43,2020.01.18,南北,精装,,中楼层(共18层),板塔结合
101106618132,2室1厅,天朗莱茵小城,66.21,89,95,13443,25,2020.01.18,东北,精装,,低楼层(共27层),塔楼
101106773915,3室2厅,蔚蓝花城七色镇B区,140.52,27,200,1901,1,2020.01.18,南北,其他,,高楼层(共11层),板塔结合
