成交记录ID,户型,小区名称,建筑面积,成交价,挂牌价,单价,成交周期,成交日期,朝向,装修,建筑类型,latitude,longtitude,楼层位置,楼高
101106383893,2室1厅,御笔城市广场,77.0,90,91.0,11689,52,2020.01.18,东西,简装,板塔结合,39.7075560798796,116.30308103304456,中楼层,32
101106618637,2室2厅,百合佳苑,104.91,95,100.0,9008,25,2020.01.18,南,简装,塔楼,29.33708990322523,106.65388576324105,中楼层,14
101105471035,2室2厅,富力城北区,99.09,145,148.0,14613,157,2020.01.18,南,精装,板塔结合,23.013447021911468,120.21618107393404,高楼层,11
101104919981,3室2厅,金裕青青家园,109.95,93,93.0,8423,223,2020.01.18,南,简装,板楼,22.945801021270764,112.99290597202781,中楼层,6
101106485874,3室2厅,万科城二期,86.98,165,169.0,18970,39,2020.01.18,南北,精装,板塔结合,40.491433020802624,116.05090403909489,高楼层,33
101105760148,3室2厅,太白小区,101.3,115,116.0,11272,125,2020.01.18,南北,简装,板塔结合,34.0642484411527,107.32552913248024,低楼层,6
101106606164,2室1厅,高新左岸,84.03,105,108.0,12496,27,2020.01.18,西南,精装,板塔结合,39.93028275365748,116.41666215291232,中楼层,27
101105898029,2室2厅,新南花园,92.31,100,117.0,10834,109,2020.01.18,西南东北,简装,板塔结合,34.23813901410341,108.98651299840363,低楼层,16
101106027101,1室0厅,御溪书院,40.0,51,52.0,12625,93,2020.01.18,北,精装,塔楼,28.11991297341351,113.01605997620096,中楼层,31
101106471166,2室1厅,紫薇永和坊,105.08,189,192.0,17987,41,2020.01.18,东南,精装,板塔结合,25.01131797680449,121.52703216993577,中楼层,32
101106599281,1室1厅,易道郡玫瑰公馆一期,51.0,69,70.0,13530,28,2020.01.18,东,精装,塔楼,23.085356759845354,113.52562772911187,中楼层,31
101105568227,2室1厅,送变电社区,55.82,43,46.0,7704,147,2020.01.18,东,简装,板塔结合,34.773485102119956,113.62908585877697,高楼层,5
101105706036,2室1厅,枫叶苑南区,79.59,226,229.0,28396,131,2020.01.18,南北,简装,板楼,24.124036972028485,120.67502812714011,高楼层,7
101105474472,3室2厅,碧桂园天玺,112.63,170,172.0,15094,157,2020.01.18,南北,精装,板塔结合,39.95149170817752,116.47120834144478,高楼层,33
